German,English,Portuguese
der,the,a
und,and,e
sein,be,ser
in,in,no
ein,a,uma
zu,to,para
haben,to have,Ter
ich,I,EU
werden,will,vai
sie,you,tu
von,from,a partir de
nicht,Not,Não
mit,with,com
es,it,isto
sich,themselves,si mesmos
auch,also,Além disso
auf,on,sobre
für,for,para
an,on,sobre
er,he,ele
so,so,então
dass,that,este
können,can,posso
dies-,this-,isto-
als,as,Como
ihr,your,sua
ja,Yes,Sim
wie,how,quão
bei,at,no
oder,or,ou
wir,we,nós
aber,but,mas
dann,then,então
man,one,1
da,there,lá
sein,be,ser
noch,still,ainda
nach,after,depois de
was,What,o que
also,so,então
aus,out,Fora
all,Alles,Alles
wenn,if,E se
nur,only ,só 
müssen,must,devo
sagen,say,dizer
um,around,por aí
über,over,sobre
machen,make,fazer
kein,no,não
du,you,tu
mein,my,minha
schon,nice,legais
vor,before,antes
durch,through,Através dos
geben,give,dar
mehr,more,mais
andere,other,outro
viel,a lot of,um monte de
kommen,come,venha
jetzt,now,agora
sollen,must,devo
mir,me,Eu
wollen,want,querer
ganz,quite,bastante
mich,me,Eu
immer,always,sempre
gehen,walk,caminhar
sehr,very,muito
hier,here,aqui
doch,yet,ainda
bis,until,até
groß,great,excelente
wieder,again,novamente
Mal,Times,Vezes
zwei,two,dois
gut,Good,Bom
wissen,to know,saber
neu,New,Novo
sehen,see,Vejo
lassen,leave,sair
uns,us,nós
weil,because,Porque
unter,among,entre
denn,because,Porque
stehen,stand,ficar em pé
jed-,any,algum
Beispiel,example,exemplo
Zeit,time,Tempo
erste,first,primeiro
ihm,him,dele
ihn,him,dele
wo,Where,Onde
lang,long,longo
eigentlich,actually,na realidade
damit,in order to,em ordem de
selbst,even,até
unser,our,nosso
oben,above,acima
drei,three,três
wenig,little,pequeno
Frau,woman,mulher
Mensch,person,pessoa
deutsch,German,Alemão
Kind,child,filho
etwas,some,algum
Tag,Day,Dia
nun,well,Nós vamos
finden,Find,Achar
nichts,nothing,nenhuma coisa
bleiben,remain,permanecer
sondern,Then what,Então o que
klein,small,pequeno
zwischen,between,entre
alt,old,velho
gegen,versus,versus
liegen,lie,mentira
ohne,without,sem
nein,no,não
heute,today,hoje
weit,far,longe
heißen,mean,significar
denken,think,pensar
eben,even,até
erst,first,primeiro
natürlich,Naturally,Naturalmente
ob,if,E se
hoch,high,Alto
beide,both,Ambas
Mann,man,cara
einfach,simple,simples
vielleicht,perhaps,possivelmente
dort,there,lá
dabei,included,incluído
einmal,once,uma vez
ihnen,them,eles
welch-,What-,O que-
nehmen,take,levar
tun,to do,pendência
seit,since,Desde a
dürfen,allowed to,permitido
glauben,believe,acreditam
halten,keep,guarda
nennen,to name,nomear
Land,country,país
letzt-,last,último
gleich,same,mesmo
solch-,such-,tal-
dazu,to,para
mögen,like,gosta
gar,at all,de forma alguma
zeigen,demonstrate,demonstrar
führen,to lead,liderar
möglich,possible,possível
sprechen,speak,falar
während,during,no decorrer
Haus,House,Casa
Fall,case,caso
eigen,own,ter
Leute,People,Pessoas
schön,beautiful,lindo
einige,some,algum
bereits,already,já
Arbeit,work,trabalhar
leben,Life,Vida
fahren,ride,passeio
meinen,my,minha
spät,late,atrasado
etwa,about,cerca de
wer,who,quem
Prozent,percent,por cento
gerade,just,somente
wichtig,important,importante
zwar,though,no entanto
Hand,hand,mão
wirklich,really,mesmo
kennen,know,saber
weitere(-r/-s),More (-r/-s),Mais (-r/-s)
genau,Exactly,Exatamente
jung,young,novo
gelten,are valid,é válido
